tags,name,patrons,month_amount,total_amount
"MUZYKA,PUBLICYSTYKA,BLOG",Psy Dają Głos,69,1700 zł,34 tys. zł
"MUZYKA,INNE,PODCAST",Instytut Mieczysława Wajnberga,3,250 zł,4400 zł
"MUZYKA,INNE,YOUTUBE",WOWA,1,100 zł,1930 zł
"MUZYKA,SZTUKA,DESIGN",Maja Karina Rozbicka,4,63 zł,1270 zł
"MUZYKA,YOUTUBE",Marcel Raczek,0,0 zł,90 zł
"MUZYKA,SZTUKA,EDUKACJA",Orkiestra Siedlice,2,25 zł,500 zł
MUZYKA,FanishFN,0,0 zł,0 zł
"MUZYKA,TEATR,EDUKACJA",Teatr Muzyczny Proscenium,0,0 zł,0 zł
"MUZYKA,TEATR,EDUKACJA,#KULTURAWSIECI",Fundacja Artystyczna Proscenium,4,190 zł,5390 zł
"MUZYKA,TEATR,YOUTUBE",Przemysław Niedzielski,9,215 zł,2725 zł
"MUZYKA,SZTUKA,EDUKACJA,#KULTURAWSIECI",Demowska-Madejska,0,0 zł,50 zł
"MUZYKA,YOUTUBE",Dawid Mikołajczyk,0,0 zł,0 zł
"MUZYKA,FILM,SZTUKA",Fabisz,1,25 zł,465 zł
"MUZYKA,EDUKACJA,YOUTUBE",BAJKOWE PODDASZE,6,127 zł,3357 zł
"MUZYKA,SZTUKA,YOUTUBE",GARAGE LABEL,0,0 zł,49 zł
"MUZYKA,FOTOGRAFIA,SZTUKA",Sound Factory,13,179 zł,3162 zł
"MUZYKA,SZTUKA",Fractal Ensemble,0,0 zł,900 zł
"MUZYKA,SZTUKA,SPOŁECZNE",RadioRegion,0,0 zł,60 zł
MUZYKA,Zespół WieM,0,0 zł,0 zł
"MUZYKA,SZTUKA,INNE",Festiwal Kultury Żydowskiej w Krakowie,2,70 zł,1490 zł
"MUZYKA,EDUKACJA,SPOŁECZNE",Młodzieżowy Ośrodek Wychowawczy w Rzepczynie,3,350 zł,6060 zł
"MUZYKA,BLOG,YOUTUBE",Emilia Klaska,0,0 zł,50 zł
"MUZYKA,TEATR,SPORT",Rozalia Milosz,0,0 zł,90 zł
"MUZYKA,FILM,YOUTUBE",Maloy,0,0 zł,0 zł
"MUZYKA,SZTUKA,SPOŁECZNE",MÓZG ON SCREEN,0,0 zł,1130 zł
"MUZYKA,SZTUKA,YOUTUBE",Mateusz Łatacz,0,0 zł,0 zł
"MUZYKA,EDUKACJA,PODCAST",banał,2,10 zł,40 zł
"MUZYKA,EDUKACJA,PODCAST",Bulldog in Yellow Submarine,3,24 zł,440 zł
MUZYKA,Izabela Sonia Budnik,0,0 zł,0 zł
"MUZYKA,FILM,LITERATURA",Mirek Czyżykiewicz,3,195 zł,4520 zł
"MUZYKA,FOTOGRAFIA",natusbye,0,0 zł,90 zł
MUZYKA,Gigi de Paschketyni,0,0 zł,0 zł
"MUZYKA,SZTUKA,YOUTUBE",Major Tom and the Stardust,9,175 zł,9320 zł
"MUZYKA,FILM,SZTUKA",Holly Blue,0,0 zł,120 zł
"MUZYKA,EDUKACJA,NAUKA",Radio Kuropatwa,FALSE,FALSE,FALSE
"MUZYKA,SZTUKA,SPOŁECZNE",radiotpi.pl,0,0 zł,960 zł
MUZYKA,Big Band Dobczyce,1,7 zł,630 zł
"MUZYKA,SZTUKA,SPOŁECZNE",Sewio,6,82 zł,2903 zł
"MUZYKA,BLOG,STREAMERZY",BartoszLee,0,0 zł,1905 zł
"MUZYKA,SZTUKA,YOUTUBE",PROGREFONIK,0,0 zł,830 zł
"MUZYKA,YOUTUBE,ZDROWIE",Mateusz Śmierzchalski,1,0 zł,630 zł
"MUZYKA,YOUTUBE",Cracow Singers,0,0 zł,0 zł
"MUZYKA,EDUKACJA,YOUTUBE",Czarno Na Białych,0,0 zł,140 zł
"MUZYKA,GRY,YOUTUBE",DarkHeroMatiz,0,0 zł,60 zł
"MUZYKA,SZTUKA,BLOG",Stary Metalowiec,0,0 zł,150 zł
MUZYKA,Untypical,0,0 zł,2305 zł
"MUZYKA,FILM,YOUTUBE",Binaural Steps,0,0 zł,0 zł
"MUZYKA,SZTUKA,YOUTUBE",Aneta Kubacka,0,0 zł,0 zł
"MUZYKA,FILM,INNE",HaKoach,2,20 zł,290 zł
"MUZYKA,#KULTURAWSIECI",Gawlik,5,260 zł,6380 zł
"MUZYKA,GRY,STREAMERZY",pixelretroshop.pl,12,165 zł,3730 zł
"MUZYKA,FILM,FOTOGRAFIA",Wiadmości z Goleniowa,0,0 zł,36 zł
"MUZYKA,SZTUKA,EDUKACJA",Wojciech Popielarz,1,10 zł,180 zł
"MUZYKA,INNE,EDUKACJA",Maciej Ślimak Starosta,6,506 zł,8004 zł
"MUZYKA,SZTUKA,YOUTUBE",Tokłowicz with strings,1,10 zł,1075 zł
"MUZYKA,FILM,SZTUKA",Tadeusz Woźniak,14,440 zł,15 tys. zł
"MUZYKA,YOUTUBE,SPOŁECZNE",TestMisja,0,0 zł,450 zł
"MUZYKA,SZTUKA,TEATR",Fundacja FETA,0,0 zł,0 zł
"MUZYKA,SZTUKA,YOUTUBE",Grosu,0,0 zł,0 zł
"MUZYKA,BLOG,YOUTUBE",Złoty Rap,0,0 zł,0 zł
"MUZYKA,SZTUKA,PODCAST",Ciężkie Majki Podcast,4,110 zł,1600 zł
"MUZYKA,EDUKACJA,SPOŁECZNE",Sky Style - Służba dla młodzieży,1,5 zł,90 zł
"MUZYKA,YOUTUBE,STREAMERZY",Eugeniusz Tiemnikow (Żenia),1,25 zł,375 zł
"MUZYKA,PUBLICYSTYKA,PODCAST",Radio Pirat,1,14 zł,998 zł
"MUZYKA,YOUTUBE,NAUKA",Brygida Sordyl,3,45 zł,4225 zł
"MUZYKA,MALARSTWO,YOUTUBE",Anna Hamela,5,330 zł,1040 zł
"MUZYKA,SZTUKA,YOUTUBE",ZUZA BAUM,5,390 zł,6360 zł
"MUZYKA,YOUTUBE",Deep Sesje,3,203 zł,4947 zł
"MUZYKA,FILM,FOTOGRAFIA,#KULTURAWSIECI",Szum/Islandia,2,30 zł,810 zł
"MUZYKA,YOUTUBE,STREAMERZY",Music Evolution,0,0 zł,0 zł
"MUZYKA,LITERATURA,SZTUKA",Ignu,0,0 zł,1090 zł
"MUZYKA,FILM,YOUTUBE",Pathlife muzyka,2,80 zł,660 zł
"MUZYKA,SZTUKA,YOUTUBE",AkuGranie,0,0 zł,0 zł
"MUZYKA,GRY,STREAMERZY",Nikodem Apoczkin,0,0 zł,0 zł
"MUZYKA,YOUTUBE,MOTORYZACJA",Bassdriver,9,120 zł,2485 zł
"MUZYKA,EDUKACJA,YOUTUBE",Konrad Jeremus,6,680 zł,16 tys. zł
"MUZYKA,YOUTUBE",Knebel studio Makleros,1,3 zł,120 zł
"MUZYKA,SZTUKA,EDUKACJA",Ladom Kultury,9,200 zł,8500 zł
"MUZYKA,SZTUKA,EDUKACJA",Mrkaczmarov,0,0 zł,326 zł
"MUZYKA,YOUTUBE",Japa Koniu,1,10 zł,280 zł
MUZYKA,Główny Zawór Jazzu,FALSE,FALSE,FALSE
"MUZYKA,YOUTUBE,SPOŁECZNE",Fundacja Kadosz Uwielbienie,2,70 zł,1722 zł
"MUZYKA,PUBLICYSTYKA,PODCAST",Tropix Project,0,0 zł,0 zł
"MUZYKA,BLOG",Sylwia Hazboun - Dzisiaj w Betlejem,5,120 zł,1400 zł
"MUZYKA,LITERATURA,FOTOGRAFIA",ivona franek,1,10 zł,190 zł
"MUZYKA,FILM,LITERATURA",Forum Inspiracji Kulturalnych,88,887 zł,16 tys. zł
"MUZYKA,EDUKACJA,YOUTUBE,#KULTURAWSIECI",AkuGitara,20,462 zł,7563 zł
"MUZYKA,SZTUKA,SPOŁECZNE",MYUS,6,168 zł,168 zł
