tags,name,patrons,month_amount,total_amount
"YOUTUBE,NAUKA,SPOŁECZNE",Ravgor,1,5 zł,2345 zł
"GRY,YOUTUBE",Nilven,0,0 zł,0 zł
"YOUTUBE,EDUKACJA,SPOŁECZNE",Rock Your English,57,795 zł,25 tys. zł
"SPORT,YOUTUBE,SPORTY EKSTREMALNE",Piotr Ślęzak,0,0 zł,0 zł
"WYPRAWY,YOUTUBE,EDUKACJA,SPOŁECZNE",Piotr Horzela - Opowiada,40,970 zł,22 tys. zł
"LITERATURA,YOUTUBE,NAUKA",Jordan Peterson – Polska,1,12 zł,5734 zł
"FILM,GRY,YOUTUBE",KapitanB,1,30 zł,1945 zł
"GRY,YOUTUBE",Kamerlord,0,0 zł,0 zł
"GRY,PUBLICYSTYKA,YOUTUBE",Karczma Ajantisa,FALSE,FALSE,FALSE
"GRY,SPORT,YOUTUBE,KOSZYKÓWKA",keepthebeat,19,474 zł,39 tys. zł
"INNE,EDUKACJA,YOUTUBE",Wróżka Astylla,0,0 zł,300 zł
"FILM,GRY,YOUTUBE",Kushiva,0,0 zł,0 zł
"FILM,GRY,YOUTUBE",paTrykos,0,0 zł,95 zł
"FILM,YOUTUBE",Śmiechawa TV,12,365 zł,130 tys. zł
"EDUKACJA,YOUTUBE,ZDROWIE",Tomasz Pragski,0,0 zł,385 zł
"GRY,YOUTUBE,PODCAST",STAFF,0,0 zł,180 zł
"LITERATURA,PUBLICYSTYKA,YOUTUBE",Bartosz Ćwir,0,0 zł,460 zł
"FILM,GRY,YOUTUBE",Łukasz Charęza,0,0 zł,0 zł
"WYPRAWY,YOUTUBE",Maciej Raniszewski,0,0 zł,0 zł
"GRY,GRAFIKA,YOUTUBE",Kizeki,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,ZDROWIE",Minister Podwyższonego Ryzyka,0,0 zł,0 zł
"YOUTUBE,EDUKACJA,ZWIERZĘTA,SPOŁECZNE",Tramadolihydrochlor,0,0 zł,2240 zł
"FILM,YOUTUBE,SPOŁECZNE",Shisha Project,0,0 zł,1735 zł
"FILM,YOUTUBE,STREAMERZY",Czukasz,1,10 zł,925 zł
"WYPRAWY,SPORT,YOUTUBE,SPORTY EKSTREMALNE",History Hunters,0,0 zł,150 zł
"GRY,YOUTUBE",FunDlaLam,0,0 zł,155 zł
YOUTUBE,mlodybiednyartysta,1,120 zł,1610 zł
"FILM,YOUTUBE",Parodyści,0,0 zł,105 zł
"WYPRAWY,EDUKACJA,YOUTUBE",ADVENTURER Kajetan Wilczyński,5,50 zł,2845 zł
"LITERATURA,GRY,YOUTUBE",RaptorPL,0,0 zł,FALSE
"YOUTUBE,MOTORYZACJA",Krzysztof Mtronic,0,0 zł,630 zł
"EDUKACJA,YOUTUBE,PODCAST",Chrześcijańskie Nauczania,0,0 zł,8085 zł
"SPORT,YOUTUBE,WORKOUT,ZDROWIE,SPOŁECZNE",ajthepolishamerican,0,0 zł,3595 zł
"WYPRAWY,PUBLICYSTYKA,YOUTUBE",Światowa Historia,0,0 zł,320 zł
"FILM,KOMIKS,YOUTUBE",MidoriCat,0,0 zł,270 zł
"RĘKODZIEŁO,COSPLAY,YOUTUBE",Shappi Workshop,9,160 zł,20 tys. zł
"PUBLICYSTYKA,YOUTUBE,PODCAST",MediaPrzasnysz,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,ZDROWIE",TwojaNowaŚwiadomość,174,3804 zł,198 tys. zł
"FILM,EDUKACJA,YOUTUBE",Piotr Kośka,0,0 zł,30 zł
YOUTUBE,SZUKACZ,0,0 zł,170 zł
"SPORT,YOUTUBE,SPORTY EKSTREMALNE",Storm Racing Team,0,0 zł,100 zł
"GRY,YOUTUBE,STREAMERZY",Eliash,4,90 zł,6065 zł
"WYPRAWY,EDUKACJA,YOUTUBE",Michał Sikorski,14 tys. zł,FALSE,FALSE
"YOUTUBE,ZWIERZĘTA,ZDROWIE",WytatuowanyHodowca,0,0 zł,60 zł
"FILM,YOUTUBE",MatejMatejGshock,6,190 zł,2634 zł
"EDUKACJA,YOUTUBE,ZDROWIE",WegaFitness,1,69 zł,5376 zł
"SPORT,EDUKACJA,YOUTUBE",Rafal Galinski,7,110 zł,6267 zł
YOUTUBE,Axerfish,0,0 zł,2388 zł
"WYPRAWY,EDUKACJA,YOUTUBE",Stanisław Szostak,0,0 zł,900 zł
"FILM,WYPRAWY,YOUTUBE",Z Tourettem Przez Świat,0,0 zł,60 zł
YOUTUBE,Paweł Gajkowski,0,0 zł,0 zł
"YOUTUBE,MOTORYZACJA,NAUKA",Centrum Motocyklowe,0,0 zł,153 zł
"FILM,WYPRAWY,YOUTUBE,#KULTURAWSIECI",Wyprawy Kojota,35 zł,1810 zł,FALSE
"GRY,YOUTUBE",altair21pl,1,3 zł,339 zł
"WYPRAWY,INNE,YOUTUBE",Odyn,28,690 zł,47 tys. zł
"FILM,YOUTUBE",Bartosz Kulik,0,0 zł,300 zł
"LITERATURA,YOUTUBE,PODCAST",Quadrotes - Opowieści Grozy,5,120 zł,FALSE
"GRY,YOUTUBE",ArtKoval,FALSE,FALSE,FALSE
"RĘKODZIEŁO,DESIGN,YOUTUBE",Dominik Gnaś,0,0 zł,480 zł
YOUTUBE,Free Flow Energy,2,26 zł,2757 zł
"YOUTUBE,POLITYKA",Justyna Helcyk,0,0 zł,2395 zł
YOUTUBE,Pietron,0,0 zł,0 zł
"FILM,GRY,YOUTUBE",PEJT,0,0 zł,0 zł
"YOUTUBE,PODCAST",FranciszkanieTV,1,20 zł,1310 zł
"YOUTUBE,ZWIERZĘTA,SPOŁECZNE",Fundacja Zwierzęca Arkadia,1,10 zł,320 zł
"GRY,YOUTUBE,PODCAST",PoGraMy TV - portal o grach planszowych,30,746 zł,FALSE
"EDUKACJA,YOUTUBE,NAUKA",Misja Archeologiczna w Chodliku,8,162 zł,7047 zł
"GRY,YOUTUBE,PODCAST",Christopher Chickadee,0,0 zł,20 zł
"YOUTUBE,NAUKA,SPOŁECZNE",De-Kompozytor,0,0 zł,10 tys. zł
"EDUKACJA,YOUTUBE,NAUKA",Zaprojektuj i Zbuduj,0,0 zł,870 zł
"SZTUKA,MALARSTWO,YOUTUBE",Kinga Kiepura,0,0 zł,120 zł
"YOUTUBE,KULINARNI",Kuchnia Kwasiora,20,820 zł,43 tys. zł
"FILM,WYPRAWY,YOUTUBE",DavidM (WeAreGoingSomewhere),3,76 zł,11 tys. zł
"YOUTUBE,PODCAST,SPOŁECZNE",Poglebiarka.pl,505,14970 zł,329 tys. zł
"WYPRAWY,YOUTUBE,ROŚLINY",Bushcraftowy,127,3670 zł,148 tys. zł
"EDUKACJA,YOUTUBE,SPOŁECZNE",Krzepki Maluch,0,0 zł,0 zł
"GRY,EDUKACJA,YOUTUBE",Piotr Fidler,0,0 zł,3350 zł
"GRY,YOUTUBE,STREAMERZY",Kanciapa Krisa,3,65 zł,450 zł
"WYPRAWY,YOUTUBE",Weronika Truszczyńska,3,45 zł,53 tys. zł
"RĘKODZIEŁO,COSPLAY,YOUTUBE",Tima,0,0 zł,0 zł
"YOUTUBE,NAUKA",Śmiem Wątpić,244,6450 zł,120 tys. zł
"FILM,YOUTUBE,WORKOUT",Piotr Tomaszewski,FALSE,FALSE,FALSE
"SPORT,YOUTUBE,ZDROWIE",Zbigniew Syc - Sztuki Walki,5,175 zł,4650 zł
"YOUTUBE,MOTORYZACJA",BraaapMotoShow,0,0 zł,50 zł
"FILM,WYPRAWY,YOUTUBE","To tu, To tam Pozdrowienia z Portugalii",0,0 zł,70 zł
"FILM,WYPRAWY,YOUTUBE",Wojciech Siryk,26,521 zł,FALSE
"LITERATURA,EDUKACJA,YOUTUBE",Przeciętny Człowiek w świecie Nieprzeciętnych Idei,1,10 zł,11 tys. zł
"RĘKODZIEŁO,COSPLAY,YOUTUBE",Dolls Brand-New Look,0,0 zł,0 zł
"YOUTUBE,MOTORYZACJA",Project Poldożer,0,0 zł,75 zł
"INNE,YOUTUBE",WKO-Wędkarstwo,0,0 zł,850 zł
"FILM,EDUKACJA,YOUTUBE",Na Gałęzi,FALSE,FALSE,FALSE
"SZTUKA,SPORT,YOUTUBE,SPORTY EKSTREMALNE",Movement Crew,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",Arkadikuss,10,276 zł,13 tys. zł
"YOUTUBE,WORKOUT,ZDROWIE",Robert Burneika,FALSE,FALSE,FALSE
YOUTUBE,Wędkarski CHALLENGE,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,PODCAST",Seksdobrywszystkim,0,0 zł,0 zł
"GRY,YOUTUBE",Przyjaciele z Dywizji Brązu,0,0 zł,1070 zł
"GRY,YOUTUBE",AngryPolishGamer,0,0 zł,705 zł
"FILM,GRY,YOUTUBE",Marcin Buczyński,0,0 zł,9 zł
"GRY,GRAFIKA,YOUTUBE",Vadiv,0,0 zł,0 zł
"SPORT,YOUTUBE,STREAMERZY",Hattrick.TV,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",Ucieczka z Arkham,32,733 zł,25 tys. zł
"GRY,YOUTUBE,PODCAST",Guinamo,0,0 zł,39 zł
"GRY,YOUTUBE,STREAMERZY",Fayors,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",Playergency,0,0 zł,748 zł
"EDUKACJA,YOUTUBE,NAUKA",Emil Krawczak,0,0 zł,265 zł
"SZTUKA,YOUTUBE,ZDROWIE",Kupa Chrustu,6,143 zł,14 tys. zł
"GRY,YOUTUBE",Mikołaj Ambroziak,0,0 zł,0 zł
"EDUKACJA,PUBLICYSTYKA,YOUTUBE",Szymon Pękala - Wojna Idei,659,10369 zł,FALSE
"SPORT,YOUTUBE,PODCAST",#GoSpójnia,0,0 zł,635 zł
"FILM,KOMIKS,YOUTUBE",Brody z Kosmosu,9,200 zł,13 tys. zł
"YOUTUBE,PODCAST,SPOŁECZNE",OcalSiebie,16,320 zł,38 tys. zł
"EDUKACJA,YOUTUBE",poczytaj mi,0,0 zł,0 zł
"FILM,YOUTUBE",TheMax,0,0 zł,45 zł
"FILM,SPORT,YOUTUBE,INNE",ADAO,0,0 zł,0 zł
"INNE,YOUTUBE",Tłumaczenia Hillsong,33,1215 zł,63 tys. zł
"WYPRAWY,GRY,YOUTUBE",Rafał Stańczak,0,0 zł,532 zł
"EDUKACJA,YOUTUBE",Mestosław,57,2821 zł,FALSE
"SPORT,YOUTUBE,YOUTUBE",karolina g,0,0 zł,0 zł
"INNE,YOUTUBE,ZDROWIE",Chmurka Biała Sklep dla Twojego Dziecka,0,0 zł,0 zł
"WYPRAWY,EDUKACJA,YOUTUBE",Weekend Małżeński - br. Piotr Zajączkowski OFMCap,3,140 zł,14 tys. zł
"WYPRAWY,EDUKACJA,YOUTUBE",Urbex History,89,2942 zł,102 tys. zł
"PUBLICYSTYKA,YOUTUBE,POLITYKA",Good Times Bad Times,280,6660 zł,62 tys. zł
"FILM,YOUTUBE",Fire Academy,0,0 zł,0 zł
"EDUKACJA,YOUTUBE",Fundacja CAISHEN,0,0 zł,27 zł
"GRAFIKA,YOUTUBE",Odbierz wiadomość od Pana Boga,2,400 zł,12 tys. zł
YOUTUBE,Gdzie Taniej,0,0 zł,70 zł
"EDUKACJA,YOUTUBE,NAUKA",Damian Rogulski,0,0 zł,0 zł
"YOUTUBE,POLITYKA,SPOŁECZNE",Michał Leja,FALSE,FALSE,FALSE
"GRY,PUBLICYSTYKA,YOUTUBE",Stolaris Games,0,0 zł,0 zł
"WYPRAWY,EDUKACJA,YOUTUBE",Michał Sowała,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",Zespół Uniwersum,0,0 zł,0 zł
"YOUTUBE,MOTORYZACJA",Drift Patriot,0,0 zł,8260 zł
YOUTUBE,Życie na Wózku,2,15 zł,6195 zł
YOUTUBE,Maciek Ignaczak,0,0 zł,0 zł
"FILM,TEATR,YOUTUBE",Red Pants,0,0 zł,30 zł
"PUBLICYSTYKA,YOUTUBE,SPOŁECZNE",pyta.pl,4,45 zł,FALSE
"FILM,EDUKACJA,YOUTUBE,#KULTURAWSIECI",Pallotyńska Grupa Medialna,10,310 zł,16 tys. zł
"YOUTUBE,NAUKA,ZDROWIE",Damian Mazurek,0,0 zł,1100 zł
"FILM,GRY,YOUTUBE",RPGowcy,0,0 zł,75 zł
"PUBLICYSTYKA,YOUTUBE",Kultura na co dzień,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",Dredu,15,327 zł,11 tys. zł
"GRY,RĘKODZIEŁO,YOUTUBE",Jakub Zapała,5,1100 zł,20 tys. zł
"SPORT,YOUTUBE,MOTORYZACJA",Dokurviator-Drift&Rally,1,200 zł,5340 zł
"EDUKACJA,YOUTUBE",Dom Modlitwy TV,0,0 zł,245 zł
"EDUKACJA,YOUTUBE,PODCAST",ŚWIAT WCIĄGA - Wojciech Piestrak,63,2175 zł,12 tys. zł
"WYPRAWY,EDUKACJA,YOUTUBE",Abletr,0,0 zł,300 zł
"PUBLICYSTYKA,YOUTUBE,SPOŁECZNE",Media Narodowe,31,1000 zł,37 tys. zł
"SPORT,YOUTUBE,INNE,EDUKACJA,SPOŁECZNE",Grzegorz Pacewicz,5,120 zł,5000 zł
"FILM,GRY,YOUTUBE",Kocham Kino,0,0 zł,0 zł
"FILM,GRY,YOUTUBE",SztywnyPatyk,FALSE,FALSE,FALSE
"YOUTUBE,ZWIERZĘTA",Przemek p,1,5 zł,510 zł
"MODA,INNE,YOUTUBE",Pink Vixen,0,0 zł,30 zł
"GRY,YOUTUBE",Majes,0,0 zł,75 zł
"FILM,WYPRAWY,YOUTUBE",Ukryte historie,0,0 zł,300 zł
"WYPRAWY,YOUTUBE",Kebson - Podróże Za Kebabem,2,30 zł,4524 zł
"EDUKACJA,YOUTUBE,SPOŁECZNE",Bajoteka Pani Loli,0,0 zł,0 zł
"FILM,YOUTUBE,MOTORYZACJA",Go Harder,0,0 zł,30 zł
"EDUKACJA,YOUTUBE,SPOŁECZNE",Everyday Hero,208,FALSE,FALSE
"EDUKACJA,YOUTUBE,NAUKA",Bez Kalkulatora,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,PODCAST",Historia w 5 minut,24,555 zł,3800 zł
"GRY,YOUTUBE,STREAMERZY",Marvolo,0,0 zł,290 zł
"EDUKACJA,YOUTUBE,ZDROWIE",Mariusz Alin,0,0 zł,33 zł
"EDUKACJA,YOUTUBE",Victor Max B,0,0 zł,0 zł
"SPORT,YOUTUBE,PIŁKA NOŻNA",Magazyn Ligi Okręgowej,0,0 zł,2070 zł
"FILM,SPORT,YOUTUBE,YOUTUBE",Dawid Urban,0,0 zł,0 zł
"FILM,EDUKACJA,YOUTUBE",Arkadiusz Olszewski,5,102 zł,14 tys. zł
"FILM,GRY,YOUTUBE",Tawerna,0,0 zł,290 zł
"GRY,YOUTUBE,STREAMERZY",Annica88,5,30 zł,505 zł
"SPORT,YOUTUBE,YOUTUBE",Typowy Balik,0,0 zł,60 zł
"GRY,YOUTUBE,STREAMERZY",Roles,0,0 zł,2523 zł
"GRY,YOUTUBE,PODCAST",Niezatapialni,112,3305 zł,128 tys. zł
"SPORT,YOUTUBE,WORKOUT",KUBA POST,0,0 zł,0 zł
"GRY,YOUTUBE",G Studio,0,0 zł,0 zł
"YOUTUBE,MOTORYZACJA",Polscy Kierowcy #,0,0 zł,125 zł
"YOUTUBE,MOTORYZACJA",Garażowe Hobby,FALSE,FALSE,FALSE
"FILM,GRY,YOUTUBE",Marcin Rumi Rumiński,0,0 zł,565 zł
"GRY,YOUTUBE,STREAMERZY",Amigowiec,19,FALSE,FALSE
"EDUKACJA,YOUTUBE,NAUKA",NaukowoTV,73,1940 zł,56 tys. zł
YOUTUBE,Zwłoki Exploration,0,0 zł,340 zł
"WYPRAWY,YOUTUBE",GhostUrbex Wrocław,0,0 zł,120 zł
"SPORT,YOUTUBE,PODCAST",Enbiej Akszyn,0,0 zł,4890 zł
"PUBLICYSTYKA,YOUTUBE",Niekryty Krytyk,82,1035 zł,70 tys. zł
"RĘKODZIEŁO,YOUTUBE",Wcale Nie Na Oko,0,0 zł,1170 zł
"PUBLICYSTYKA,YOUTUBE",Andrzej Bazgier,56,1860 zł,64 tys. zł
"GRY,YOUTUBE",Norbert Dis Gierczak,0,0 zł,3625 zł
"YOUTUBE,MOTORYZACJA",Laguna Fan,0,0 zł,649 zł
"EDUKACJA,YOUTUBE,NAUKA",Dorota Filipiuk,0,0 zł,1340 zł
"FILM,SPORT,YOUTUBE,YOUTUBE",KRZYWY KrzywaWędka,0,0 zł,315 zł
"GRY,YOUTUBE",YuriPRIME - Bitewny Biurokrata,5,75 zł,5245 zł
"PUBLICYSTYKA,YOUTUBE,MOTORYZACJA",Michał Śniadek (kendokoluszki) / CarTests Polska,FALSE,FALSE,FALSE
"INNE,SPORT,YOUTUBE",Barti Fishing,0,0 zł,0 zł
"FILM,LITERATURA,YOUTUBE",Okoń w sieci,15,290 zł,19 tys. zł
"WYPRAWY,GRY,YOUTUBE",Ryoko Live,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",Timi Utox,0,0 zł,405 zł
"FILM,EDUKACJA,YOUTUBE",OnBoard,0,0 zł,20 zł
YOUTUBE,Rakofsky,0,0 zł,105 zł
"FILM,TEATR,SPORT,YOUTUBE,SPORTY EKSTREMALNE",Grupa Filmowa Darwin,829,18995 zł,1.55 mln zł
"GRAFIKA,YOUTUBE",Somepony,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,PODCAST",Magnanima - Kamil Mańka,2,18 zł,378 zł
"YOUTUBE,MOTORYZACJA",CODA,19,420 zł,FALSE
"FILM,YOUTUBE",Marcin Rutkowski,0,0 zł,175 zł
YOUTUBE,mniejsze od trzech,1,10 zł,1020 zł
"WYPRAWY,SPORT,YOUTUBE,SPORTY EKSTREMALNE",Żądny Przygód,0,0 zł,16 tys. zł
"EDUKACJA,YOUTUBE,NAUKA",Garage Make Zone,62,815 zł,32 tys. zł
"WYPRAWY,PUBLICYSTYKA,YOUTUBE",Inne Medium,2,65 zł,3245 zł
"LITERATURA,YOUTUBE,SPOŁECZNE",Strefa Czytacza,17,320 zł,27 tys. zł
"FILM,YOUTUBE",K-Pax Studio Filmowe,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,MOTORYZACJA",Warszafka Po Stolicy,0,0 zł,0 zł
YOUTUBE,Multimammy,0,0 zł,45 zł
"EDUKACJA,YOUTUBE",SasanaPL,104,1920 zł,79 tys. zł
"FILM,YOUTUBE",Widowiskowo,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",Mateusz Mazur,0,0 zł,0 zł
"INNE,YOUTUBE",FsongTV,0,0 zł,0 zł
"SPORT,YOUTUBE,NAUKA",Squats And Milk,2,54 zł,13 tys. zł
"LITERATURA,EDUKACJA,YOUTUBE",Zenobiusz Urbańczyk,0,0 zł,0 zł
"EDUKACJA,YOUTUBE",Moto Doktor,0,0 zł,0 zł
YOUTUBE,Mateusz Wójcik,0,0 zł,0 zł
"GRY,YOUTUBE",Hikomikos,0,0 zł,330 zł
"WYPRAWY,YOUTUBE,ZDROWIE",Z KOPYTEM,FALSE,FALSE,FALSE
"GRY,YOUTUBE,PODCAST",SafemodTV,0,0 zł,705 zł
"WYPRAWY,YOUTUBE,MOTORYZACJA",ejnoBlog,0,0 zł,30 zł
"PUBLICYSTYKA,YOUTUBE",BaldTV,47,695 zł,32 tys. zł
"EDUKACJA,YOUTUBE",chwila dla debila,118,FALSE,FALSE
"EDUKACJA,YOUTUBE,NAUKA",Matma Z Pasją,0,0 zł,30 zł
"EDUKACJA,YOUTUBE,ZDROWIE",Gabinet Nowej Psychologii,0,0 zł,28 tys. zł
"DESIGN,YOUTUBE,NAUKA",Łukasz Koźlik,12,350 zł,5995 zł
"GRY,YOUTUBE",True Mom,0,0 zł,5 zł
YOUTUBE,Szkoda Gadać,0,0 zł,0 zł
YOUTUBE,DAWNIEJvsDZIŚ,0,0 zł,0 zł
"GRY,YOUTUBE",Granie w chmurach - Gry planszowe,2,50 zł,25 tys. zł
"EDUKACJA,YOUTUBE",lekturek.pl,0,0 zł,54 zł
"YOUTUBE,PODCAST",Tarocista Dariusz,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",MageT,2,25 zł,755 zł
"PUBLICYSTYKA,YOUTUBE,STREAMERZY",Emil Vergil Niedziela,0,0 zł,230 zł
"KOMIKS,COSPLAY,YOUTUBE",Dymo,300 zł,FALSE,FALSE
"GRY,YOUTUBE",Marso,0,0 zł,0 zł
YOUTUBE,Tarocistka Agiatis,FALSE,FALSE,FALSE
"EDUKACJA,YOUTUBE,NAUKA",ForumWiedzy.pl,0,0 zł,12 zł
"YOUTUBE,MOTORYZACJA",AUTO FAN - Zrób To Sam,0,0 zł,0 zł
"GRY,SZTUKA,YOUTUBE,STREAMERZY",Pulchny Niedźwiedź,1,55 zł,20 tys. zł
"FILM,YOUTUBE,NAUKA",PandaTV,0,0 zł,450 zł
"FILM,SZTUKA,YOUTUBE",Jovanka Czarnik,0,0 zł,680 zł
"WYPRAWY,YOUTUBE",Sylka Rayska,0,0 zł,460 zł
"EDUKACJA,YOUTUBE",Dawid Nowak,0,0 zł,1850 zł
"YOUTUBE,UBODZY,SPOŁECZNE",Dominik Grochowski,0,0 zł,646 zł
"GRY,RĘKODZIEŁO,YOUTUBE",Satyr,0,0 zł,0 zł
"GRY,YOUTUBE,STREAMERZY",JestemGraczem.pl,0,0 zł,456 zł
"GRY,YOUTUBE",Kushi,155,FALSE,FALSE
"YOUTUBE,PODCAST",Dominik Bos,27,460 zł,FALSE
"EDUKACJA,YOUTUBE",TAK BYŁO,0,0 zł,0 zł
"GRY,YOUTUBE",RetroAge,0,35 zł,1630 zł
"RĘKODZIEŁO,EDUKACJA,YOUTUBE",Rzeczy i Przedmioty,8,147 zł,FALSE
"SPORT,YOUTUBE,PIŁKA NOŻNA",Sebastian Szabłowski,0,0 zł,30 zł
"YOUTUBE,PODCAST,ZDROWIE",Marcin Hinz,0,0 zł,2960 zł
"GRY,COSPLAY,YOUTUBE",Mara,0,0 zł,0 zł
"COSPLAY,GRAFIKA,YOUTUBE",ShinArei,0,0 zł,0 zł
"EDUKACJA,PUBLICYSTYKA,YOUTUBE",namzalezy.pl,82,FALSE,FALSE
"GRY,YOUTUBE,STREAMERZY",DED87,16,540 zł,44 tys. zł
"GRY,EDUKACJA,YOUTUBE",Marek Winiarski,0,0 zł,327 zł
YOUTUBE,DallasStudios,FALSE,FALSE,FALSE
"SZTUKA,YOUTUBE",Mariusz Kędzierski,0,0 zł,52 tys. zł
"FILM,GRY,YOUTUBE",Santoryo,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,NAUKA",Tymczas,5,405 zł,13 tys. zł
"SPORT,YOUTUBE,SPORTY EKSTREMALNE",Zenon,0,0 zł,180 zł
"GRY,YOUTUBE,STREAMERZY",Kaftann,87,2570 zł,162 tys. zł
"GRY,YOUTUBE,PODCAST",Aleksander Chrzanowski,0,0 zł,0 zł
"GRY,YOUTUBE",Papierski Patryk,0,0 zł,200 zł
"YOUTUBE,KULINARNI",Koktajl.TV - zmieniamy kulturę picia alkoholu,0,0 zł,20 zł
"FILM,WYPRAWY,YOUTUBE",maniekRODZINKA,0,0 zł,4235 zł
"RĘKODZIEŁO,YOUTUBE",Bioran,0,0 zł,0 zł
"LITERATURA,TEATR,YOUTUBE,#KULTURAWSIECI",Szeptanki,1,10 zł,1190 zł
"INNE,YOUTUBE",Vincenty Docent,2,31 zł,12 tys. zł
"FILM,WYPRAWY,YOUTUBE",Polandscapes,2,20 zł,22 tys. zł
"EDUKACJA,YOUTUBE,MOTORYZACJA",FreezerSIG,1,8 zł,240 zł
"FILM,GRY,YOUTUBE",Gracjan Gornig,0,0 zł,0 zł
"GRY,YOUTUBE,NAUKA",Łukasz Bazarnik,0,0 zł,30 zł
"GRY,YOUTUBE",Racik,0,0 zł,0 zł
"KOMIKS,YOUTUBE",Ach ta Beata,0,0 zł,425 zł
"PUBLICYSTYKA,YOUTUBE,POLITYKA",Nowa Konfederacja,5,455 zł,40 tys. zł
"RĘKODZIEŁO,MALARSTWO,YOUTUBE",Pikselka78,0,0 zł,0 zł
"FILM,GRY,YOUTUBE",MEJZI,0,0 zł,25 zł
"INNE,EDUKACJA,YOUTUBE",Agnieszka Styczna,1,100 zł,18 tys. zł
YOUTUBE,Pal Hajs TV,1205,23610 zł,894 tys. zł
"YOUTUBE,KULINARNI,ZDROWIE",Ewa Kowalska,0,0 zł,330 zł
"LITERATURA,SZTUKA,YOUTUBE",BlindMaiden,0,0 zł,825 zł
"GRY,EDUKACJA,YOUTUBE",infoszach,2,15 zł,6050 zł
"GRY,YOUTUBE",Czip17,0,0 zł,2300 zł
"SZTUKA,EDUKACJA,YOUTUBE",Creosfera,0,0 zł,105 zł
"KOMIKS,SZTUKA,RĘKODZIEŁO,YOUTUBE",Shinigami Customs,0,0 zł,35 zł
"GRY,GRAFIKA,YOUTUBE",Rafałczu,0,0 zł,15 zł
"FILM,YOUTUBE",Polish Paranormal TV,4,77 zł,6000 zł
"GRY,YOUTUBE,STREAMERZY",ilidans01,0,0 zł,0 zł
"RĘKODZIEŁO,SPORT,EDUKACJA,YOUTUBE,SPORTY EKSTREMALNE",Paweł Dudziński,3,60 zł,7160 zł
"GRY,YOUTUBE,PODCAST",theWilQ,0,0 zł,5340 zł
"FILM,WYPRAWY,YOUTUBE",Travelerzy,0,0 zł,905 zł
"FILM,SPORT,YOUTUBE,INNE",Bike Test,0,0 zł,0 zł
"FILM,EDUKACJA,YOUTUBE",Historia z drona,0,0 zł,0 zł
"EDUKACJA,YOUTUBE,NAUKA",Rakietomania,28,495 zł,3615 zł
"SPORT,YOUTUBE,PODCAST",Przerwa na kawę,13,225 zł,13 tys. zł
"GRY,YOUTUBE",Leepey,0,0 zł,1810 zł
"YOUTUBE,NAUKA,ZDROWIE",Świadoma.TV,0,0 zł,320 zł
"WYPRAWY,SPORT,YOUTUBE,SPORTY WALKI,SPORTY EKSTREMALNE",GROT Kraków,0,0 zł,155 zł
"EDUKACJA,YOUTUBE",Grzegorz Kowalik,1,3 zł,4865 zł
"GRY,YOUTUBE",Mateusz Szczesik,0,0 zł,865 zł
"GRY,YOUTUBE",RafczesTV,0,0 zł,15 zł
"GRY,YOUTUBE",Hawajski,0,0 zł,103 zł
"TEATR,YOUTUBE,POLITYKA",Klaudia Jachira,FALSE,FALSE,FALSE
"GRY,YOUTUBE",Poradnik Samca Alfa,0,0 zł,15 zł
"RĘKODZIEŁO,YOUTUBE,KULINARNI",Kaminari Knives,0,0 zł,270 zł
"RĘKODZIEŁO,YOUTUBE",Trollsky,178,2210 zł,FALSE
"GRY,YOUTUBE,STREAMERZY",Xardas182,0,0 zł,10 tys. zł
"INNE,EDUKACJA,YOUTUBE",mlody1997.com,0,0 zł,78 zł
"FILM,YOUTUBE,SPOŁECZNE",Pasjonaci,5,125 zł,1810 zł
"FILM,SZTUKA,YOUTUBE",Rockstar Films Studio,0,0 zł,0 zł
"YOUTUBE,MOTORYZACJA",SWAGTV AUTODETAILING & LIFESTYLE,0,0 zł,1910 zł
"GRY,PUBLICYSTYKA,YOUTUBE",Łukasz Grodzki,0,0 zł,0 zł
"YOUTUBE,ZWIERZĘTA",Zapalony Akwarysta,0,0 zł,0 zł
"FILM,COSPLAY,YOUTUBE",Make Up By Utnicka,1,15 zł,3310 zł
"FILM,COSPLAY,YOUTUBE",Toruńska Zona - Stalkerska Grupa Filmowa,0,0 zł,0 zł
"YOUTUBE,PODCAST,ZDROWIE",mindbodyspirit.pl,3,64 zł,FALSE
"FILM,EDUKACJA,YOUTUBE",Vantis Terra,0,0 zł,145 zł
